,City,Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
350,chone,ec,-0.7,-80.09,77.0,3.6,78.0,40.0
352,mahon,es,51.89,-8.4,51.8,4.1,66.0,40.0
353,mersing,my,2.43,103.84,82.616,2.21,84.0,80.0
354,kangaatsiaq,gl,68.31,-53.46,30.128,9.26,99.0,64.0
355,grand gaube,mu,-20.01,57.66,77.0,1.0,78.0,20.0
356,artyom,az,43.36,132.19,55.4,2.0,71.0,40.0
357,lebu,cl,8.96,38.73,73.79599999999999,5.66,20.0,0.0
358,alice springs,au,-23.7,133.88,44.6,3.1,52.0,0.0
360,grootfontein,na,-19.56,18.1,80.906,2.31,30.0,80.0
361,khatanga,ru,71.98,102.47,7.718,3.86,76.0,0.0
363,san cristobal,ec,-0.39,-78.55,55.4,1.0,71.0,40.0
364,egvekinot,ru,66.32,-179.17,23.918,0.86,89.0,92.0
365,esperance,au,10.24,-61.45,84.2,8.7,66.0,20.0
366,pombas,cv,-15.9,-54.74,78.566,2.51,81.0,68.0
367,goderich,sl,43.74,-81.71,49.226,2.96,87.0,44.0
368,vila franca do campo,pt,37.72,-25.43,64.4,5.1,52.0,75.0
369,topchikha,ru,52.82,83.12,47.246,5.21,66.0,12.0
370,vaini,to,15.34,74.49,81.80600000000001,2.06,64.0,12.0
371,orgtrud,ru,56.18,40.61,76.406,7.86,24.0,0.0
372,port augusta,au,-32.49,137.76,57.2,5.7,76.0,40.0
373,hami,cn,42.84,93.51,70.10600000000001,2.21,38.0,0.0
374,rolla,us,37.95,-91.77,72.464,5.1,69.0,1.0
375,irbit,ru,57.67,63.06,42.025999999999996,6.31,38.0,56.0
377,rio grande,br,-32.03,-52.1,68.0,5.7,68.0,40.0
378,ribeira grande,pt,38.52,-28.7,64.4,4.1,59.0,40.0
379,inverness,ca,57.48,-4.23,58.298,5.7,51.0,20.0
380,indianola,us,40.24,-100.42,50.0,5.1,100.0,90.0
381,devils lake,us,48.11,-98.87,54.59,2.6,43.0,1.0
382,berlevag,no,70.86,29.09,39.506,1.41,99.0,8.0
383,kholm-zhirkovskiy,ru,55.52,33.47,73.346,5.56,35.0,0.0
384,moron,mn,10.49,-68.2,80.6,1.5,74.0,75.0
385,barrow,us,-38.31,-60.23,60.025999999999996,5.56,62.0,24.0
386,bredasdorp,za,-34.53,20.04,62.186,4.66,93.0,20.0
387,inongo,cd,-1.93,18.29,84.05600000000001,1.61,70.0,56.0
388,siocon,ph,11.03,124.04,83.51599999999999,2.56,100.0,68.0
389,ust-kut,ru,56.78,105.75,42.296,1.76,57.0,88.0
391,zhigansk,ru,66.77,123.37,24.728,1.41,75.0,36.0
392,kysyl-syr,ru,63.9,122.77,28.418,1.76,60.0,8.0
393,bubaque,gw,11.28,-15.83,91.4,3.1,26.0,0.0
394,castro,cl,-42.48,-73.76,47.336,1.01,100.0,100.0
395,ust-nera,ru,64.57,143.24,19.328,0.86,72.0,68.0
396,manggar,id,-2.88,108.27,80.906,3.51,91.0,36.0
397,paamiut,gl,61.99,-49.67,36.176,23.91,93.0,76.0
398,prince rupert,ca,54.32,-130.32,48.2,1.0,100.0,20.0
399,coahuayana,mx,18.62,-100.35,75.506,1.16,62.0,0.0
